Temp,Q1,low,top
200.0,0.23996122915851037,0.029785763780578983,0.03755043628256716
250.0,0.18036831740389642,0.04073926046587012,0.061177632154647305
300.0,0.16701091037399216,0.040162758926162195,0.06051606569280821
350.0,0.14899434976881296,0.029071688873946885,0.03903759159330053
400.0,0.07505089494680585,0.011760205184606451,0.013206440780343803
450.0,0.11570652371771004,0.02423808819039286,0.031753050923185394
500.0,0.08417101092697075,0.022694491926610272,0.028668079589876466
550.0,0.06038039389064667,0.008945496547313407,0.011095907802768312
600.0,0.05541338023820806,0.015270238158338938,0.023133456774169003
650.0,0.06365365541039733,0.017068240627480816,0.028061280126335977
700.0,0.04007814407563442,0.011312701354283809,0.01631049321756494
750.0,0.02853032938181334,0.005093601678131995,0.007129936602505296
800.0,0.014557118229999793,0.004171615772223934,0.006265494542757094
850.0,0.024166374024260154,0.0068784355907069265,0.011215951527438317
900.0,0.017946739520503244,0.011518703908330777,0.137309530867281
1000.0,0.007111629723936268,0.0024877553297972237,0.0035131532933749196
